"filename", "language", "Batch", "C++", "comment", "blank", "total"
"c:\Users\domin\Desktop\Blockbit\build.bat", "Batch", 2, 0, 0, 0, 2
"c:\Users\domin\Desktop\Blockbit\include\Account.hpp", "C++", 0, 22, 0, 13, 35
"c:\Users\domin\Desktop\Blockbit\include\AccountWidget.hpp", "C++", 0, 17, 0, 8, 25
"c:\Users\domin\Desktop\Blockbit\include\AssetManager.hpp", "C++", 0, 18, 0, 7, 25
"c:\Users\domin\Desktop\Blockbit\include\Block.hpp", "C++", 0, 34, 0, 6, 40
"c:\Users\domin\Desktop\Blockbit\include\Button.hpp", "C++", 0, 21, 0, 8, 29
"c:\Users\domin\Desktop\Blockbit\include\Chunk.hpp", "C++", 0, 14, 0, 5, 19
"c:\Users\domin\Desktop\Blockbit\include\ComponentType.hpp", "C++", 0, 9, 0, 3, 12
"c:\Users\domin\Desktop\Blockbit\include\DeathScreenState.hpp", "C++", 0, 15, 0, 8, 23
"c:\Users\domin\Desktop\Blockbit\include\Entity.hpp", "C++", 0, 33, 0, 14, 47
"c:\Users\domin\Desktop\Blockbit\include\Game.hpp", "C++", 0, 38, 2, 27, 67
"c:\Users\domin\Desktop\Blockbit\include\GameState.hpp", "C++", 0, 15, 0, 9, 24
"c:\Users\domin\Desktop\Blockbit\include\HealthBar.hpp", "C++", 0, 18, 0, 11, 29
"c:\Users\domin\Desktop\Blockbit\include\HealthComponent.hpp", "C++", 0, 16, 0, 8, 24
"c:\Users\domin\Desktop\Blockbit\include\HealthSystem.hpp", "C++", 0, 6, 0, 3, 9
"c:\Users\domin\Desktop\Blockbit\include\InventoryComponent.hpp", "C++", 0, 9, 0, 4, 13
"c:\Users\domin\Desktop\Blockbit\include\InventoryWidget.hpp", "C++", 0, 16, 0, 7, 23
"c:\Users\domin\Desktop\Blockbit\include\Item.hpp", "C++", 0, 36, 0, 13, 49
"c:\Users\domin\Desktop\Blockbit\include\MainGameState.hpp", "C++", 0, 19, 0, 9, 28
"c:\Users\domin\Desktop\Blockbit\include\MenuGameState.hpp", "C++", 0, 18, 0, 7, 25
"c:\Users\domin\Desktop\Blockbit\include\PauseScreenState.hpp", "C++", 0, 16, 0, 7, 23
"c:\Users\domin\Desktop\Blockbit\include\PerlinNoise.hpp", "C++", 0, 67, 0, 19, 86
"c:\Users\domin\Desktop\Blockbit\include\PhysicsComponent.hpp", "C++", 0, 52, 0, 10, 62
"c:\Users\domin\Desktop\Blockbit\include\PhysicsSystem.hpp", "C++", 0, 7, 0, 3, 10
"c:\Users\domin\Desktop\Blockbit\include\RenderComponent.hpp", "C++", 0, 28, 0, 8, 36
"c:\Users\domin\Desktop\Blockbit\include\RenderSystem.hpp", "C++", 0, 9, 0, 6, 15
"c:\Users\domin\Desktop\Blockbit\include\TransformComponent.hpp", "C++", 0, 12, 0, 4, 16
"c:\Users\domin\Desktop\Blockbit\include\UIElement.hpp", "C++", 0, 32, 0, 9, 41
"c:\Users\domin\Desktop\Blockbit\include\World.hpp", "C++", 0, 48, 2, 30, 80
"c:\Users\domin\Desktop\Blockbit\include\WorldInputStream.hpp", "C++", 0, 15, 0, 10, 25
"c:\Users\domin\Desktop\Blockbit\include\WorldOutputStream.hpp", "C++", 0, 43, 0, 23, 66
"c:\Users\domin\Desktop\Blockbit\src\Account.cpp", "C++", 0, 46, 0, 10, 56
"c:\Users\domin\Desktop\Blockbit\src\AccountWidget.cpp", "C++", 0, 54, 31, 27, 112
"c:\Users\domin\Desktop\Blockbit\src\AssetManager.cpp", "C++", 0, 23, 0, 5, 28
"c:\Users\domin\Desktop\Blockbit\src\Button.cpp", "C++", 0, 74, 0, 17, 91
"c:\Users\domin\Desktop\Blockbit\src\DeathScreen.cpp", "C++", 0, 27, 5, 6, 38
"c:\Users\domin\Desktop\Blockbit\src\Entity.cpp", "C++", 0, 16, 0, 5, 21
"c:\Users\domin\Desktop\Blockbit\src\Game.cpp", "C++", 0, 240, 0, 46, 286
"c:\Users\domin\Desktop\Blockbit\src\GameState.cpp", "C++", 0, 5, 0, 2, 7
"c:\Users\domin\Desktop\Blockbit\src\HealthBar.cpp", "C++", 0, 32, 0, 13, 45
"c:\Users\domin\Desktop\Blockbit\src\HealthSystem.cpp", "C++", 0, 17, 0, 5, 22
"c:\Users\domin\Desktop\Blockbit\src\InventoryWidget.cpp", "C++", 0, 30, 1, 12, 43
"c:\Users\domin\Desktop\Blockbit\src\Item.cpp", "C++", 0, 47, 0, 11, 58
"c:\Users\domin\Desktop\Blockbit\src\MainGameState.cpp", "C++", 0, 126, 0, 44, 170
"c:\Users\domin\Desktop\Blockbit\src\MenuGameState.cpp", "C++", 0, 47, 0, 8, 55
"c:\Users\domin\Desktop\Blockbit\src\PauseScreenState.cpp", "C++", 0, 29, 0, 6, 35
"c:\Users\domin\Desktop\Blockbit\src\PhysicsSystem.cpp", "C++", 0, 98, 7, 24, 129
"c:\Users\domin\Desktop\Blockbit\src\RenderSystem.cpp", "C++", 0, 33, 0, 10, 43
"c:\Users\domin\Desktop\Blockbit\src\TransformComponent.cpp", "C++", 0, 9, 0, 2, 11
"c:\Users\domin\Desktop\Blockbit\src\World.cpp", "C++", 0, 215, 7, 47, 269
"c:\Users\domin\Desktop\Blockbit\src\WorldInputStream.cpp", "C++", 0, 10, 69, 4, 83
"c:\Users\domin\Desktop\Blockbit\src\WorldOutputStream.cpp", "C++", 0, 49, 1, 17, 67
"c:\Users\domin\Desktop\Blockbit\src\main.cpp", "C++", 0, 13, 0, 9, 22
"Total", "-", 2, 1943, 125, 629, 2699
